,Binned_Rating
0,2
1,2
2,2
3,2
4,3
5,2
6,3
7,3
8,1
9,2
10,3
11,2
12,3
13,2
14,3
15,3
16,2
17,2
18,3
19,1
20,2
21,2
22,3
23,1
24,0
25,2
26,2
27,2
28,2
29,3
30,2
31,3
32,2
33,2
34,3
35,3
36,2
37,2
38,2
39,3
40,2
41,3
42,2
43,2
44,2
45,2
46,0
47,2
48,3
49,3
50,2
51,2
52,3
53,2
54,1
55,1
56,2
57,0
58,2
59,2
60,3
61,2
62,2
63,3
64,2
65,2
66,2
67,2
68,2
69,2
70,3
71,2
72,2
73,1
74,3
75,2
76,3
77,3
78,3
79,2
80,2
81,2
82,3
83,2
84,3
85,2
86,3
87,1
88,2
89,1
90,2
91,3
92,0
93,2
94,3
95,1
96,2
97,2
98,3
99,2
100,2
101,3
102,3
103,2
104,2
105,3
106,2
107,2
108,0
109,3
110,2
111,2
112,2
113,2
114,2
115,3
116,2
117,1
118,2
119,2
120,2
121,2
122,2
123,3
124,3
125,3
126,3
127,3
128,2
129,3
130,2
131,3
132,2
133,2
134,3
135,1
136,2
137,3
138,0
139,3
140,3
141,3
142,3
143,1
144,3
145,0
146,3
147,3
148,2
149,2
150,3
151,3
152,3
153,3
154,2
155,2
156,3
157,2
158,2
159,2
160,3
161,2
162,3
163,2
164,3
165,2
166,3
167,3
168,2
169,2
170,0
171,1
172,2
173,2
174,3
175,2
176,2
177,3
178,2
179,3
180,3
181,3
182,2
183,2
184,3
185,2
186,3
187,3
188,1
189,2
190,2
191,2
192,2
193,2
194,3
195,1
196,2
197,3
198,2
199,3
200,3
201,2
202,2
203,3
204,3
205,3
206,2
207,2
208,3
209,2
210,3
211,3
212,2
213,1
214,3
215,2
216,2
217,2
218,1
219,3
220,2
221,3
222,1
223,2
224,3
225,2
226,2
227,2
228,3
229,2
230,3
231,3
232,1
233,2
234,3
235,2
236,0
237,3
238,2
239,3
240,3
241,2
242,3
243,3
244,1
245,2
246,3
247,2
248,2
249,3
250,3
251,3
252,2
253,2
254,3
255,2
256,1
257,2
258,3
259,2
260,2
261,2
262,3
263,2
264,1
265,2
266,2
267,2
268,2
269,3
270,3
271,3
272,2
273,3
274,2
275,3
276,2
277,3
278,1
279,2
280,0
281,2
282,2
283,3
284,3
285,2
286,3
287,3
288,3
289,3
290,2
291,2
292,3
293,3
294,2
295,2
296,2
297,3
298,2
299,1
300,1
301,2
302,3
303,2
304,2
305,1
306,2
307,1
308,2
309,2
310,3
311,3
312,3
313,0
314,2
315,3
316,1
317,3
318,3
319,3
320,1
321,3
322,2
323,0
324,2
325,3
326,2
327,2
328,2
329,1
330,2
331,2
332,1
333,2
334,2
335,2
336,2
337,3
338,3
339,3
340,1
341,2
342,0
343,3
344,2
345,2
346,0
347,3
348,2
349,1
350,3
351,3
352,2
353,3
354,3
355,3
356,3
357,2
358,3
359,2
360,3
361,3
362,1
363,3
364,2
365,2
366,2
367,1
368,2
369,3
370,3
371,2
372,2
373,3
374,2
375,1
376,3
377,2
378,3
379,2
380,3
381,1
382,3
383,1
384,3
385,3
386,2
387,2
388,2
389,2
390,3
391,2
392,3
393,3
394,1
395,3
396,3
397,3
398,1
399,3
400,2
401,3
402,3
403,3
404,2
405,3
406,3
407,3
408,0
409,2
410,3
411,3
412,2
413,2
414,2
415,2
416,2
417,3
418,1
419,1
420,1
421,2
422,1
423,2
424,3
425,3
426,3
427,3
428,1
429,2
430,2
431,2
432,3
433,3
434,2
435,1
436,1
437,3
438,2
439,3
440,1
441,2
442,3
443,2
444,2
445,2
446,2
447,3
448,2
449,2
450,3
451,3
452,3
453,2
454,3
455,3
456,2
457,2
458,3
459,3
460,2
461,1
462,2
463,2
464,3
465,3
466,2
467,2
468,2
469,2
470,3
471,2
472,2
473,3
474,2
475,2
476,3
477,2
478,3
479,2
480,2
481,2
482,2
483,2
484,3
485,1
486,3
487,3
488,3
489,2
490,1
491,1
492,3
493,2
494,3
495,1
496,3
497,3
498,3
499,2
500,2
501,2
502,2
503,2
504,1
505,2
506,2
507,1
508,1
509,1
510,3
511,3
512,2
513,3
514,2
515,3
516,2
517,2
518,3
519,3
520,3
521,3
522,3
523,2
524,3
525,2
526,2
527,3
528,2
529,3
530,3
531,1
532,3
533,3
534,3
535,2
536,2
537,3
538,0
539,3
540,2
541,2
542,1
543,1
544,3
545,2
